n_vessels,n_wind_farms,n_scenarios,instance,runtime,objval,solution_gap,charter_decision
2,1,1,1,38.7780179977417,8798523.218011102,0.001998533506390622,"['gamma_ST[SOV,February]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,1,2,546.8590750694275,7370238.134163747,0.0019688387253046667,"['gamma_ST[CTV,January]: 1.0', 'gamma_ST[CTV,March]: 1.0', 'gamma_ST[CTV,June]: 1.0', 'gamma_ST[CTV,September]: 1.0', 'gamma_ST[CTV,October]: 1.0', 'gamma_ST[SOV,November]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 1.0']"
2,1,1,3,46.1236138343811,5193823.862004895,0.001995431133841533,"['gamma_ST[CTV,January]: 1.0', 'gamma_ST[CTV,February]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 1.0']"
2,1,1,4,39.139683961868286,6823496.49731525,0.001972962088007929,"['gamma_ST[CTV,January]: 1.0', 'gamma_ST[CTV,February]: 1.0', 'gamma_ST[CTV,March]: 1.0', 'gamma_ST[CTV,May]: 1.0', 'gamma_ST[CTV,June]: 1.0', 'gamma_ST[SOV,November]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 1.0']"
2,1,1,5,35.950129985809326,6764840.875782383,0.0019019431853556723,"['gamma_ST[CTV,February]: 1.0', 'gamma_ST[SOV,January]: 1.0', 'gamma_ST[SOV,October]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 1.0']"
2,1,2,1,414.26836490631104,8060646.099719209,0.0019989645612379595,"['gamma_ST[SOV,February]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,2,2,654.9127171039581,8518701.729377966,0.001996190816118842,['gamma_LT[SOV]: 1.0']
2,1,2,3,1584.9391820430756,5764574.39894142,0.0019948356630033344,"['gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,2,4,7200.179088830948,8092847.9789626505,0.0021159312580668007,['gamma_LT[SOV]: 1.0']
2,1,2,5,2120.126904964447,7621448.385485409,0.0019995685692977645,"['gamma_ST[CTV,February]: 1.0', 'gamma_ST[CTV,June]: 1.0', 'gamma_ST[CTV,September]: 1.0', 'gamma_ST[CTV,November]: 1.0', 'gamma_ST[SOV,January]: 1.0', 'gamma_ST[SOV,October]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 1.0']"
2,1,3,1,1767.4669117927551,7481501.931713609,0.0019984670960889305,"['gamma_ST[SOV,February]: 1.0', 'gamma_ST[SOV,September]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,3,2,7200.383062124252,8548881.985008623,0.002697290184627672,"['gamma_ST[CTV,November]: 1.0', 'gamma_LT[SOV]: 1.0']"
2,1,3,3,7200.156061887741,6521682.486645009,0.0033012083603946255,"['gamma_ST[CTV,February]: 1.0', 'gamma_ST[CTV,June]: 1.0', 'gamma_ST[CTV,August]: 1.0', 'gamma_ST[CTV,September]: 1.0', 'gamma_ST[SOV,January]: 1.0', 'gamma_ST[SOV,November]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 1.0']"
2,1,3,4,1463.9670090675354,8178868.028672436,0.0019987625066575673,"['gamma_ST[CTV,January]: 1.0', 'gamma_ST[CTV,May]: 1.0', 'gamma_ST[CTV,July]: 1.0', 'gamma_ST[CTV,September]: 1.0', 'gamma_ST[CTV,October]: 1.0', 'gamma_ST[SOV,February]: 1.0', 'gamma_ST[SOV,November]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 1.0']"
2,1,3,5,2427.181177139282,7826549.720095048,0.001979063635953918,"['gamma_ST[CTV,February]: 1.0', 'gamma_ST[CTV,March]: 1.0', 'gamma_ST[CTV,April]: 1.0', 'gamma_ST[CTV,September]: 1.0', 'gamma_ST[CTV,November]: 1.0', 'gamma_ST[SOV,January]: 1.0', 'gamma_ST[SOV,October]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 1.0']"
2,1,4,1,2644.226089000702,7504461.2688176185,0.0019984972365832167,"['gamma_ST[SOV,February]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,4,2,7200.644140958786,8711438.864137411,0.0025699285249838415,['gamma_LT[SOV]: 1.0']
2,1,4,3,7200.229032993317,6579404.508662185,0.0028954280886896795,"['gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,4,4,7200.480983972549,8069488.730555107,0.003409940773905203,"['gamma_ST[CTV,July]: 1.0', 'gamma_ST[CTV,September]: 1.0', 'gamma_ST[CTV,December]: 1.0', 'gamma_ST[SOV,January]: 1.0', 'gamma_ST[SOV,February]: 1.0', 'gamma_ST[SOV,October]: 1.0', 'gamma_ST[SOV,November]: 1.0', 'gamma_LT[CTV]: 1.0']"
2,1,4,5,211.76702785491943,8235464.0039589945,0.0019839099054910357,['gamma_LT[SOV]: 1.0']
2,1,5,1,7200.129577159882,8038292.240067219,0.002496904073406349,"['gamma_ST[SOV,February]: 1.0', 'gamma_ST[SOV,December]: 1.0', 'gamma_LT[CTV]: 2.0']"
2,1,5,2,582.1382188796997,8783711.968449313,0.001996888821427222,['gamma_LT[SOV]: 1.0']
