n_vessels,n_wind_farms,n_scenarios,instance,runtime,objval,solution_gap,charter_decision
3,2,1,1,72.492830991745,15386594.482850479,0.00196837170994033,"['gamma_ST[CTV,December]: 1.0', 'gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,1,2,66.10168194770813,14555481.052969933,0.001998926440163861,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,1,3,74.5661449432373,17525967.419368535,0.00199862050585049,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,1,4,64.2362048625946,11005016.664612848,0.0019982688601031472,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,1,5,121.25716996192932,15603162.639572311,0.0019459049374521578,"['gamma_ST[CTV,January]: 2.0', 'gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,2,1,335.7342360019684,12899923.889657186,0.001987777177839365,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,2,2,346.37473797798157,13588930.467012474,0.0019879484233678306,"['gamma_ST[CTV,February]: 1.0', 'gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,2,3,211.40046215057373,15071265.82995018,0.001903353516471635,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,2,4,330.34492111206055,11625888.939334482,0.0019747770025598604,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,2,5,267.31411600112915,12474257.233302152,0.0018245691437583959,"['gamma_ST[CTV,January]: 1.0', 'gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,3,1,735.0477609634399,14150526.632229846,0.0019615284747426212,"['gamma_ST[CTV,December]: 1.0', 'gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,3,2,486.47003293037415,13351608.119253172,0.0,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,3,3,640.6010031700134,14829567.782147065,0.0019989987864752496,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,3,4,556.0297601222992,13052124.801472027,0.0019622417145132988,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,3,5,481.3068208694458,12986444.873325698,0.001968253499697696,"['gamma_ST[CTV,January]: 1.0', 'gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,4,1,885.8905670642853,14160466.432190027,0.0019972126512107268,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,4,2,1482.1114490032196,13267079.95148575,0.001998570607870046,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,4,3,1878.2399520874023,14853978.981251083,0.001998881132806279,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,4,4,701.9440660476685,12592551.092861664,0.0019199637220822015,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,4,5,628.9146740436554,12679874.521600764,0.0019472086291594916,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,5,1,995.6951420307159,14155924.065215275,0.0019973315606723364,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,5,2,1225.0039629936218,13529227.435621526,0.0019916912559391244,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,5,3,4028.6870789527893,15330305.46910062,0.0019728124573784333,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,5,4,1600.673099040985,13007751.110956633,0.0,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,5,5,2304.656402826309,13623622.336067127,0.001876850938269145,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,6,1,1600.9876639842987,13576902.613134068,0.0019474731718587468,"['gamma_ST[CTV,December]: 1.0', 'gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,6,2,1487.7896180152893,14037471.369344579,0.0019502240218472,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,6,3,5914.376002073288,15042423.634230942,0.0019985200925522403,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,6,4,2312.261370897293,13714286.666119872,0.0019926111740121745,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,6,5,1584.555195093155,13159930.124391776,0.0019989663225045873,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,7,1,2263.487473964691,13421979.577759368,0.001997198047944334,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,7,2,2819.8246550559998,13844423.280710835,0.0019699758947565055,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,7,3,4006.0767509937286,14804622.996449422,0.0019989885378521835,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,7,4,2317.4961619377136,14120894.710748576,0.0019549526630564147,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
3,2,7,5,4348.764229059219,13761438.737275803,0.00195156659729597,"['gamma_LT[CTV]: 1.0', 'gamma_LT[SOV]: 1.0']"
