Time,Speed,Height
2021-01-01 00:00:00,4.5233,0.9812
2021-01-01 01:00:00,4.4538,0.9479
2021-01-01 02:00:00,4.3396,0.9218
2021-01-01 03:00:00,4.4425,0.9114
2021-01-01 04:00:00,4.9565,0.9301
2021-01-01 05:00:00,5.6992,0.9782
2021-01-01 06:00:00,5.9086,1.0461
2021-01-01 07:00:00,5.9284,1.1239
2021-01-01 08:00:00,6.0616,1.2059
2021-01-01 09:00:00,6.3008,1.2937
2021-01-01 10:00:00,7.1768,1.3784
2021-01-01 11:00:00,7.4438,1.4639
2021-01-01 12:00:00,8.0547,1.5556
2021-01-01 13:00:00,8.7130,1.6547
2021-01-01 14:00:00,8.8296,1.7503
2021-01-01 15:00:00,8.6015,1.8124
2021-01-01 16:00:00,8.6270,1.8465
2021-01-01 17:00:00,8.8562,1.8720
2021-01-01 18:00:00,9.0258,1.9059
2021-01-01 19:00:00,9.1829,1.9413
2021-01-01 20:00:00,9.1094,1.9648
2021-01-01 21:00:00,8.8746,1.9582
2021-01-01 22:00:00,7.9194,1.9174
2021-01-01 23:00:00,7.7455,1.8805
2021-01-02 00:00:00,7.3923,1.8335
2021-01-02 01:00:00,7.1234,1.7802
2021-01-02 02:00:00,7.2151,1.7330
2021-01-02 03:00:00,8.1325,1.7110
2021-01-02 04:00:00,9.2585,1.7318
2021-01-02 05:00:00,9.8106,1.7790
2021-01-02 06:00:00,9.8954,1.8182
2021-01-02 07:00:00,9.5285,1.8196
2021-01-02 08:00:00,8.8165,1.7798
2021-01-02 09:00:00,7.9184,1.7211
2021-01-02 10:00:00,6.8066,1.6377
2021-01-02 11:00:00,6.2516,1.5591
2021-01-02 12:00:00,5.6705,1.4886
2021-01-02 13:00:00,5.6927,1.4294
2021-01-02 14:00:00,6.3766,1.3855
2021-01-02 15:00:00,7.0086,1.3610
2021-01-02 16:00:00,7.1463,1.3512
2021-01-02 17:00:00,6.9800,1.3336
2021-01-02 18:00:00,6.8110,1.3100
2021-01-02 19:00:00,6.3458,1.2757
2021-01-02 20:00:00,5.9054,1.2396
2021-01-02 21:00:00,5.5775,1.2074
2021-01-02 22:00:00,5.8231,1.1809
2021-01-02 23:00:00,5.7217,1.1648
2021-01-03 00:00:00,5.9200,1.1587
2021-01-03 01:00:00,6.4548,1.1701
2021-01-03 02:00:00,6.9202,1.1927
2021-01-03 03:00:00,7.3578,1.2222
2021-01-03 04:00:00,7.6610,1.2561
