,time,speed,height
0,2022-01-01 00:00:00,9.0034,1.8081
1,2022-01-01 01:00:00,8.1281,1.7268
2,2022-01-01 02:00:00,7.9227,1.6547
3,2022-01-01 03:00:00,8.4486,1.6234
4,2022-01-01 04:00:00,8.3497,1.6050
5,2022-01-01 05:00:00,7.8399,1.5718
6,2022-01-01 06:00:00,8.3482,1.5513
7,2022-01-01 07:00:00,9.0290,1.5542
8,2022-01-01 08:00:00,10.0446,1.5862
9,2022-01-01 09:00:00,10.4765,1.6592
10,2022-01-01 10:00:00,10.7921,1.7644
11,2022-01-01 11:00:00,11.4439,1.8955
12,2022-01-01 12:00:00,12.0161,2.0810
13,2022-01-01 13:00:00,12.4527,2.2501
14,2022-01-01 14:00:00,11.8117,2.3070
15,2022-01-01 15:00:00,11.6065,2.3052
16,2022-01-01 16:00:00,11.2031,2.2901
17,2022-01-01 17:00:00,11.2428,2.2476
18,2022-01-01 18:00:00,11.2668,2.2328
19,2022-01-01 19:00:00,10.8038,2.1884
20,2022-01-01 20:00:00,11.5040,2.1230
21,2022-01-01 21:00:00,10.7653,2.1402
22,2022-01-01 22:00:00,10.2293,2.0132
23,2022-01-01 23:00:00,10.6342,1.9658
24,2022-01-02 00:00:00,10.2735,1.9108
25,2022-01-02 01:00:00,10.1121,1.8495
26,2022-01-02 02:00:00,9.7110,1.7809
27,2022-01-02 03:00:00,9.7636,1.7069
28,2022-01-02 04:00:00,9.4246,1.6584
29,2022-01-02 05:00:00,8.7948,1.5961
30,2022-01-02 06:00:00,8.7636,1.5559
31,2022-01-02 07:00:00,8.2709,1.4844
32,2022-01-02 08:00:00,7.8025,1.4129
33,2022-01-02 09:00:00,7.7220,1.3703
34,2022-01-02 10:00:00,8.5977,1.3356
35,2022-01-02 11:00:00,9.4506,1.3839
36,2022-01-02 12:00:00,9.1178,1.5529
37,2022-01-02 13:00:00,7.9725,1.7176
38,2022-01-02 14:00:00,7.3369,1.7085
39,2022-01-02 15:00:00,9.0464,1.7866
40,2022-01-02 16:00:00,9.9408,1.8127
41,2022-01-02 17:00:00,10.2045,1.7769
42,2022-01-02 18:00:00,10.0794,1.7494
43,2022-01-02 19:00:00,9.2105,1.7003
44,2022-01-02 20:00:00,8.2986,1.6463
45,2022-01-02 21:00:00,9.0615,1.6256
46,2022-01-02 22:00:00,11.0870,1.7614
47,2022-01-02 23:00:00,11.2632,1.9132
48,2022-01-03 00:00:00,11.7609,2.0512
49,2022-01-03 01:00:00,12.5917,2.2469
50,2022-01-03 02:00:00,13.0557,2.4842
51,2022-01-03 03:00:00,13.1634,2.6535
52,2022-01-03 04:00:00,13.0229,2.7997
53,2022-01-03 05:00:00,13.6408,2.9670
54,2022-01-03 06:00:00,13.6407,3.0381
55,2022-01-03 07:00:00,13.4725,3.1013
56,2022-01-03 08:00:00,14.4578,3.2100
57,2022-01-03 09:00:00,14.2174,3.2611
58,2022-01-03 10:00:00,14.7015,3.4174
