Scenario,Hour,Day,Month,Speed,Height
1,0,1,1,6.88,1.9
1,1,1,1,6.72,1.72
1,2,1,1,7.49,1.93
1,3,1,1,8.53,1.83
1,4,1,1,8.67,1.8
1,5,1,1,7.44,1.79
1,6,1,1,8.48,1.75
1,7,1,1,7.86,1.71
1,8,1,1,7.68,1.49
1,9,1,1,7.62,1.59
1,10,1,1,7.07,1.44
1,11,1,1,7.24,1.15
1,12,1,1,6.38,1.37
1,13,1,1,5.54,1.34
1,14,1,1,5.22,1.23
1,15,1,1,4.75,1.08
1,16,1,1,5.01,1.01
1,17,1,1,3.97,1.26
1,18,1,1,4.16,1.18
1,19,1,1,3.64,1.42
1,20,1,1,2.99,1.42
1,21,1,1,4.91,1.6
1,22,1,1,5.43,1.64
1,23,1,1,5.11,1.77
1,0,2,1,7.13,1.78
1,1,2,1,5.79,2.02
1,2,2,1,7.02,1.9
1,3,2,1,7.32,1.94
1,4,2,1,8.5,2.07
1,5,2,1,8.67,1.71
1,6,2,1,8.08,1.66
1,7,2,1,8.12,1.8
1,8,2,1,7.29,1.49
1,9,2,1,6.42,1.69
1,10,2,1,6.83,1.36
1,11,2,1,6.6,1.23
1,12,2,1,6.62,1.41
1,13,2,1,6.08,1.3
1,14,2,1,4.81,1.3
1,15,2,1,4.43,1.19
1,16,2,1,3.74,1.03
1,17,2,1,3.36,1.34
1,18,2,1,3.15,1.19
1,19,2,1,5.04,1.38
1,20,2,1,4.01,1.49
1,21,2,1,4.37,1.48
1,22,2,1,4.37,1.66
1,23,2,1,5.87,1.79
1,0,3,1,5.19,1.82
1,1,3,1,6.41,1.74
1,2,3,1,6.55,1.92
1,3,3,1,7.61,2.03
1,4,3,1,7.48,1.82
1,5,3,1,7.34,1.83
1,6,3,1,7.99,1.74
1,7,3,1,8.15,1.88
1,8,3,1,7.77,1.67
1,9,3,1,7.57,1.54
1,10,3,1,6.68,1.32
1,11,3,1,6.34,1.35
1,12,3,1,5.66,1.15
1,13,3,1,5.3,1.16
1,14,3,1,4.59,1.05
1,15,3,1,3.72,1.17
1,16,3,1,4.36,1.17
1,17,3,1,3.87,1.13
1,18,3,1,3.18,1.26
1,19,3,1,4.3,1.19
1,20,3,1,3.81,1.25
1,21,3,1,4.61,1.54
1,22,3,1,5.36,1.62
1,23,3,1,5.55,1.76
